epoch,capsnet_accuracy,capsnet_loss,decoder_loss,loss,val_capsnet_accuracy,val_capsnet_loss,val_decoder_loss,val_loss
0,0.39391666650772095,0.5448344349861145,0.10387414693832397,0.5855523347854614,0.7529000043869019,0.21286913752555847,0.0851251408457756,0.24623820185661316
1,0.9242333173751831,0.08498784154653549,0.07951542735099792,0.1161579042673111,0.8560000061988831,0.12783768773078918,0.08047846704721451,0.15938523411750793
2,0.955049991607666,0.052135713398456573,0.0749356746673584,0.08151044696569443,0.8892999887466431,0.09997287392616272,0.07690341770648956,0.13011905550956726
3,0.9680166840553284,0.03844114765524864,0.07162036746740341,0.06651630997657776,0.9067000150680542,0.09034531563520432,0.07457820326089859,0.11957994103431702
4,0.9750166535377502,0.031220318749547005,0.06904168426990509,0.05828462168574333,0.9192000031471252,0.07967179268598557,0.07271227240562439,0.10817500948905945
5,0.9800166487693787,0.02622487023472786,0.06715945154428482,0.05255137383937836,0.9241999983787537,0.07006561011075974,0.07092701643705368,0.09786900132894516
6,0.9834333062171936,0.02257978357374668,0.06559568643569946,0.04829329997301102,0.9327999949455261,0.0645221620798111,0.06975261867046356,0.0918651819229126
7,0.9855999946594238,0.01957090198993683,0.06429078429937363,0.04477289691567421,0.930400013923645,0.0638122707605362,0.06881122291088104,0.09078628569841385
8,0.9883000254631042,0.017027145251631737,0.06334150582551956,0.04185701161623001,0.9380000233650208,0.060023583471775055,0.06820991635322571,0.08676185458898544
9,0.9903500080108643,0.014787429012358189,0.06240509822964668,0.039250198751688004,0.9379000067710876,0.06205449253320694,0.06747382134199142,0.08850423246622086
10,0.9921833276748657,0.013009871356189251,0.061605047434568405,0.03715904802083969,0.942300021648407,0.05418764799833298,0.06667525321245193,0.08032434433698654
11,0.9935500025749207,0.011343827471137047,0.060779720544815063,0.03516946732997894,0.9429000020027161,0.05554112419486046,0.06634894013404846,0.08154993504285812
12,0.9947500228881836,0.009901091456413269,0.060016486793756485,0.03342756628990173,0.9456999897956848,0.05113642290234566,0.06566871702671051,0.07687856256961823
13,0.9958166480064392,0.008618835359811783,0.05934112146496773,0.031880538910627365,0.9465000033378601,0.05103650689125061,0.06540607661008835,0.07667568325996399
14,0.996483325958252,0.00769615126773715,0.05878207087516785,0.030738703906536102,0.9448999762535095,0.05110376328229904,0.06486544758081436,0.07653101533651352
15,0.9972333312034607,0.006759592331945896,0.058296527713537216,0.02961181476712227,0.9492999911308289,0.048815641552209854,0.06463177502155304,0.07415129989385605
16,0.9976833462715149,0.005964639596641064,0.05781788378953934,0.028629252687096596,0.9480000138282776,0.049266353249549866,0.0640924945473671,0.07439062744379044
17,0.9981666803359985,0.005289783235639334,0.05741279572248459,0.02779560349881649,0.9483000040054321,0.049468595534563065,0.06396839022636414,0.07454420626163483
18,0.9986500144004822,0.004842662718147039,0.05708024650812149,0.027218131348490715,0.9498999714851379,0.0484519824385643,0.06378199905157089,0.07345455139875412
19,0.9987999796867371,0.004299346823245287,0.05675969272851944,0.026549162343144417,0.9506999850273132,0.04824404418468475,0.0635446161031723,0.0731535255908966
20,0.9990166425704956,0.0038119773380458355,0.05647150054574013,0.02594880945980549,0.9524000287055969,0.04575420916080475,0.06332258135080338,0.07057666778564453
21,0.9990666508674622,0.0035374867729842663,0.0562262125313282,0.025578150525689125,0.9502000212669373,0.047119565308094025,0.06316893547773361,0.07188180834054947
22,0.9992833137512207,0.003197584766894579,0.056002020835876465,0.025150403380393982,0.9506000280380249,0.0472082644701004,0.0631430447101593,0.07196035981178284
23,0.9994000196456909,0.0029001354705542326,0.055780716240406036,0.024766188114881516,0.9520999789237976,0.045770034193992615,0.0628577396273613,0.07041025161743164
24,0.9994833469390869,0.0026589774060994387,0.05560074746608734,0.02445446513593197,0.9514999985694885,0.045568205416202545,0.06266766041517258,0.07013394683599472
25,0.9994833469390869,0.002479489194229245,0.05542849004268646,0.024207450449466705,0.9514999985694885,0.045343805104494095,0.06253233551979065,0.06985647976398468
26,0.9995499849319458,0.0023351055569946766,0.05527293309569359,0.02400209568440914,0.9534000158309937,0.04491231590509415,0.06238839030265808,0.06936857849359512
27,0.9996333122253418,0.002167606260627508,0.05514232814311981,0.023783404380083084,0.9534000158309937,0.04527609050273895,0.062338292598724365,0.06971269845962524
28,0.9996500015258789,0.0020627707708626986,0.055009786039590836,0.023626599460840225,0.9516000151634216,0.04519905149936676,0.06223166361451149,0.06959383934736252
29,0.9996333122253418,0.0019189916783943772,0.05489490181207657,0.02343778870999813,0.9509000182151794,0.04489418491721153,0.06217081844806671,0.06926512718200684
30,0.999666690826416,0.001816717442125082,0.05478840693831444,0.02329377830028534,0.9527000188827515,0.0452045276761055,0.062063682824373245,0.06953348964452744
31,0.9997333288192749,0.0017441936070099473,0.05469323694705963,0.02318393625319004,0.95169997215271,0.04482942074537277,0.061989299952983856,0.06912922114133835
32,0.999750018119812,0.0016614914638921618,0.05460634082555771,0.023067178204655647,0.9519000053405762,0.044933199882507324,0.06197161227464676,0.06922607123851776
33,0.9998166561126709,0.0015948076033964753,0.054522555321455,0.022967645898461342,0.95169997215271,0.044845450669527054,0.06185251474380493,0.06909164786338806
34,0.9998000264167786,0.0015292199095711112,0.054455388337373734,0.022875722497701645,0.9519000053405762,0.045096080750226974,0.061792340129613876,0.06931868195533752
35,0.9998666644096375,0.001479241531342268,0.05438539385795593,0.022798314690589905,0.95169997215271,0.04489012062549591,0.061720654368400574,0.06908462196588516
36,0.9998999834060669,0.0014268686063587666,0.05432678759098053,0.02272297441959381,0.9513999819755554,0.04496222734451294,0.06172284111380577,0.06915758550167084
37,0.9998833537101746,0.001383730093948543,0.054271649569272995,0.022658221423625946,0.9523000121116638,0.04533558711409569,0.06170276552438736,0.06952307373285294
38,0.9998999834060669,0.001348907477222383,0.05422021821141243,0.022603245452046394,0.9524999856948853,0.04452173784375191,0.06163407489657402,0.06868227571249008
39,0.9998833537101746,0.0013147266581654549,0.05417565256357193,0.022551588714122772,0.9524999856948853,0.04471639171242714,0.06161436811089516,0.0688692107796669
40,0.999916672706604,0.0012870138743892312,0.05413646250963211,0.022508515045046806,0.9509999752044678,0.04506738856434822,0.061608392745256424,0.06921786069869995
41,0.999916672706604,0.0012587361270561814,0.0541008822619915,0.0224662683904171,0.9524999856948853,0.04500937834382057,0.061543047428131104,0.06913425028324127
42,0.999916672706604,0.0012389246840029955,0.054064005613327026,0.02243201620876789,0.9521999955177307,0.04482359439134598,0.06154033914208412,0.06894741952419281
43,0.9999333620071411,0.001213650219142437,0.054037101566791534,0.022396210581064224,0.9523000121116638,0.044667959213256836,0.06150908023118973,0.06877951323986053
44,0.9999333620071411,0.0011990348575636744,0.05400858074426651,0.022370386868715286,0.9514999985694885,0.04476318880915642,0.06148203834891319,0.06886415183544159
45,0.9999333620071411,0.001178070204332471,0.05398629605770111,0.0223406832665205,0.9516000151634216,0.04493420943617821,0.06148499250411987,0.06903631240129471
46,0.9999333620071411,0.0011631358647719026,0.053961943835020065,0.0223162192851305,0.9524000287055969,0.044916942715644836,0.06147294491529465,0.06901432573795319
47,0.9999333620071411,0.0011503680143505335,0.05394327640533447,0.022296151146292686,0.9523000121116638,0.044677622616291046,0.06144287809729576,0.06876320391893387
48,0.9999333620071411,0.0011413849424570799,0.053922541439533234,0.022279012948274612,0.9523000121116638,0.04480139911174774,0.061415087431669235,0.06887612491846085
49,0.9999333620071411,0.001127699506469071,0.053909219801425934,0.02226009964942932,0.9513000249862671,0.04489946365356445,0.061407964676618576,0.06897138804197311
